Stats_file,UKB,LifeBrain,ConensusName,Consensus,LifebrainOnly
Volume_Aseg,Volume.of.BrainSeg..whole.brain.,BrainSegVol_volume,Vol_BrainSeg_wb,1,1
Volume_Aseg,Volume.of.BrainSegNotVent..whole.brain.,BrainSegVolNotVent_volume,Vol_BrainSegNotVent_wb,1,1
Volume_Aseg,Volume.of.BrainSegNotVentSurf..whole.brain.,BrainSegVolNotVentSurf_volume,Vol_BrainSegNotVentSurf_wb,1,1
Volume_Aseg,Volume.of.SubCortGray..whole.brain.,SubCortGrayVol_volume,Vol_SubCortGray_wb,1,1
Volume_Aseg,Volume.of.TotalGray..whole.brain.,TotalGrayVol_volume,Vol_TotalGray_wb,1,1
Volume_Aseg,Volume.of.SupraTentorial..whole.brain.,SupraTentorialVol_volume,Vol_SupraTentorial_wb,1,1
Volume_Aseg,Volume.of.SupraTentorialNotVent..whole.brain.,SupraTentorialVolNotVent_volume,Vol_SupraTentorialNotVent_wb,1,1
Volume_Aseg,Volume.of.EstimatedTotalIntraCranial..whole.brain.,EstimatedTotalIntraCranialVol_volume,Vol_EstimatedTotalIntraCranial_wb,1,1
Volume_Aseg,NA,SupraTentorialVolNotVentVox_volume,Vol_SupraTentorialVolNotVentVox_wb,0,0
Volume_Aseg,NA,CortexVol_volume,Vol_CortexVol_wb,0,1
Volume_Aseg,NA,CerebralWhiteMatterVol_volume,Vol_CerebralWhiteMatterVol_wb,0,1
Volume_Aseg,NA,MaskVol_volume,Vol_MaskVol_wb,0,0
Volume_Aseg,NA,BrainSegVol.to.eTIV_volume,Vol_BrainSegVol_to_eTIV_wb,0,0
Volume_Aseg,NA,MaskVol.to.eTIV_volume,Vol_MaskVol_to_eTIV_wb,0,0
Volume_Aseg,Volume.of.VentricleChoroid..whole.brain.,NA,Vol_VentricleChoroid_wb,0,0
Volume_Aseg,Volume.of.3rd.Ventricle..whole.brain.,X3rd.Ventricle_volume,Vol_3rd_Ventricle_wb,1,1
Volume_Aseg,Volume.of.4th.Ventricle..whole.brain.,X4th.Ventricle_volume,Vol_4th_Ventricle_wb,1,1
Volume_Aseg,Volume.of.5th.Ventricle..whole.brain.,X5th.Ventricle_volume,Vol_5th_Ventricle_wb,1,1
Volume_Aseg,Volume.of.Brain.Stem..whole.brain.,Brain.Stem_volume,Vol_brainStem_wb,1,1
Volume_Aseg,Volume.of.CSF..whole.brain.,CSF_volume,Vol_CSF_wb,1,1
Volume_Aseg,Volume.of.WM.hypointensities..whole.brain.,WM.hypointensities_volume,Vol_WM_hypointensities_wb,1,1
Volume_Aseg,Volume.of.non.WM.hypointensities..whole.brain.,non.WM.hypointensities_volume,Vol_non_WM_hypointensities_wb,1,1
Volume_Aseg,NA,Left.WM.hypointensities_volume,Vol_lh_WM_hypointensities_wb,0,0
Volume_Aseg,NA,Right.WM.hypointensities_volume,Vol_rh_WM_hypointensities_wb,0,0
Volume_Aseg,NA,Left.non.WM.hypointensities_volume,Vol_lh_WM_hypointensities_wb,0,0
Volume_Aseg,NA,Right.non.WM.hypointensities_volume,Vol_rh_WM_hypointensities_wb,0,0
Volume_Aseg,Volume.of.Optic.Chiasm..whole.brain.,Optic.Chiasm_volume,Vol_Optic_Chiasm_wb,1,1
Volume_Aseg,Volume.of.CC.Posterior..whole.brain.,CC_Posterior_volume,Vol_CC_Posterior_wb,1,1
Volume_Aseg,Volume.of.CC.Mid.Posterior..whole.brain.,CC_Mid_Posterior_volume,Vol_CC_Mid_Posterior_wb,1,1
Volume_Aseg,Volume.of.CC.Central..whole.brain.,CC_Central_volume,Vol_CC_Central_wb,1,1
Volume_Aseg,Volume.of.CC.Mid.Anterior..whole.brain.,CC_Mid_Anterior_volume,Vol_CC_Mid_Anterior_wb,1,1
